Company Name,sy,Extension,Symbol
INOX India Ltd.,INOXINDIA,.NS,INOXINDIA.NS
IRB Infrastructure Developers Ltd.,IRB,.NS,IRB.NS
IRCON International Ltd.,IRCON,.NS,IRCON.NS
ITC Ltd.,ITC,.NS,ITC.NS
ITI Ltd.,ITI,.NS,ITI.NS
Indegene Ltd.,INDGN,.NS,INDGN.NS
India Cements Ltd.,INDIACEM,.NS,INDIACEM.NS
Indiamart Intermesh Ltd.,INDIAMART,.NS,INDIAMART.NS
Indian Bank,INDIANB,.NS,INDIANB.NS
Indian Energy Exchange Ltd.,IEX,.NS,IEX.NS
Indian Hotels Co. Ltd.,INDHOTEL,.NS,INDHOTEL.NS
Indian Oil Corporation Ltd.,IOC,.NS,IOC.NS
Indian Overseas Bank,IOB,.NS,IOB.NS
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,.NS,IRCTC.NS
Indian Railway Finance Corporation Ltd.,IRFC,.NS,IRFC.NS
Indian Renewable Energy Development Agency Ltd.,IREDA,.NS,IREDA.NS
Indraprastha Gas Ltd.,IGL,.NS,IGL.NS
Indus Towers Ltd.,INDUSTOWER,.NS,INDUSTOWER.NS
IndusInd Bank Ltd.,INDUSINDBK,.NS,INDUSINDBK.NS
Info Edge (India) Ltd.,NAUKRI,.NS,NAUKRI.NS
Infosys Ltd.,INFY,.NS,INFY.NS
Inox Wind Ltd.,INOXWIND,.NS,INOXWIND.NS
Intellect Design Arena Ltd.,INTELLECT,.NS,INTELLECT.NS
InterGlobe Aviation Ltd.,INDIGO,.NS,INDIGO.NS
Ipca Laboratories Ltd.,IPCALAB,.NS,IPCALAB.NS
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,.NS,JBCHEPHARM.NS
J.K. Cement Ltd.,JKCEMENT,.NS,JKCEMENT.NS
JBM Auto Ltd.,JBMA,.NS,JBMA.NS
JK Lakshmi Cement Ltd.,JKLAKSHMI,.NS,JKLAKSHMI.NS
JK Tyre & Industries Ltd.,JKTYRE,.NS,JKTYRE.NS
JM Financial Ltd.,JMFINANCIL,.NS,JMFINANCIL.NS
JSW Energy Ltd.,JSWENERGY,.NS,JSWENERGY.NS
JSW Infrastructure Ltd.,JSWINFRA,.NS,JSWINFRA.NS
JSW Steel Ltd.,JSWSTEEL,.NS,JSWSTEEL.NS
Jaiprakash Power Ventures Ltd.,JPPOWER,.NS,JPPOWER.NS
Jammu & Kashmir Bank Ltd.,J&KBANK,.NS,J&KBANK.NS
Jindal Saw Ltd.,JINDALSAW,.NS,JINDALSAW.NS
Jindal Stainless Ltd.,JSL,.NS,JSL.NS
Jindal Steel & Power Ltd.,JINDALSTEL,.NS,JINDALSTEL.NS
Jio Financial Services Ltd.,JIOFIN,.NS,JIOFIN.NS
Jubilant Foodworks Ltd.,JUBLFOOD,.NS,JUBLFOOD.NS
Jubilant Ingrevia Ltd.,JUBLINGREA,.NS,JUBLINGREA.NS
Jubilant Pharmova Ltd.,JUBLPHARMA,.NS,JUBLPHARMA.NS
Jupiter Wagons Ltd.,JWL,.NS,JWL.NS
Justdial Ltd.,JUSTDIAL,.NS,JUSTDIAL.NS
Jyothy Labs Ltd.,JYOTHYLAB,.NS,JYOTHYLAB.NS
Jyoti CNC Automation Ltd.,JYOTICNC,.NS,JYOTICNC.NS
K.P.R. Mill Ltd.,KPRMILL,.NS,KPRMILL.NS
KEI Industries Ltd.,KEI,.NS,KEI.NS
KNR Constructions Ltd.,KNRCON,.NS,KNRCON.NS
KPIT Technologies Ltd.,KPITTECH,.NS,KPITTECH.NS
KSB Ltd.,KSB,.NS,KSB.NS
Kajaria Ceramics Ltd.,KAJARIACER,.NS,KAJARIACER.NS
Kalpataru Projects International Ltd.,KPIL,.NS,KPIL.NS
Kalyan Jewellers India Ltd.,KALYANKJIL,.NS,KALYANKJIL.NS
Kansai Nerolac Paints Ltd.,KANSAINER,.NS,KANSAINER.NS
Karur Vysya Bank Ltd.,KARURVYSYA,.NS,KARURVYSYA.NS
Kaynes Technology India Ltd.,KAYNES,.NS,KAYNES.NS
Kec International Ltd.,KEC,.NS,KEC.NS
Kfin Technologies Ltd.,KFINTECH,.NS,KFINTECH.NS
Kirloskar Brothers Ltd.,KIRLOSBROS,.NS,KIRLOSBROS.NS
Kirloskar Oil Eng Ltd.,KIRLOSENG,.NS,KIRLOSENG.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK,.NS,KOTAKBANK.NS
Krishna Institute of Medical Sciences Ltd.,KIMS,.NS,KIMS.NS
L&T Finance Ltd.,LTF,.NS,LTF.NS
L&T Technology Services Ltd.,LTTS,.NS,LTTS.NS
LIC Housing Finance Ltd.,LICHSGFIN,.NS,LICHSGFIN.NS
LTIMindtree Ltd.,LTIM,.NS,LTIM.NS
Larsen & Toubro Ltd.,LT,.NS,LT.NS
Latent View Analytics Ltd.,LATENTVIEW,.NS,LATENTVIEW.NS
