Symbol,Name,Market cap (₹),Market cap,Price,Change %,Valume,Rel Volume,P/E,"EPS dil
TTM","EPS dil growth
TTM YoY","Div yield %
TTM",Analyst Rating
CIPLA,CIPLA LTD,"11,40,00,00,00,000",1.14 T,"1,407.50",-2.33%,3.34 M,2.46,22.8,61.74,34.47%,0.92%,Buy
LODHA,MACROTECH DEVELOPERS LTD,"11,30,00,00,00,000",1.13 T,"1,130.90",-5.36%,4.47 M,3.37,44.79,25.25,49.46%,0.20%,
BRITANNIA,BRITANNIA INDUSTRIES LTD,"11,10,00,00,00,000",1.11 T,"4,595.45",-3.92%,676.5 K,1.98,51.32,89.55,-0.14%,1.60%,Buy
TATAPOWER,TATA POWER CO LTD,"10,80,00,00,00,000",1.08 T,339.2,-1.19%,8.34 M,1.29,28.37,11.96,6.81%,0.59%,Buy
TVSMOTOR,TVS MOTOR COMPANY LTD,"10,60,00,00,00,000",1.06 T,"2,225.50",-4.85%,1.4 M,2.32,53.55,41.56,20.72%,0.36%,Buy
ABB,ABB INDIA LTD,"10,50,00,00,00,000",1.05 T,"4,935.40",-4.07%,784.61 K,0.91,55.88,88.32,50.68%,0.70%,Buy
BPCL,BHARAT PETROLEUM CORP LTD,"10,30,00,00,00,000",1.03 T,237.3,-3.04%,14.07 M,2.15,7.38,32.15,-52.04%,5.27%,Buy
GODREJCP,GODREJ CONSUMER PRODUCTS,"10,30,00,00,00,000",1.03 T,"1,005.15",-4.40%,2.32 M,1.59,—,-4.44,-125.42%,2.48%,Buy
GAIL,GAIL (INDIA) LTD,"10,30,00,00,00,000",1.03 T,156.04,-2.09%,24.91 M,2.24,8.26,18.9,54.09%,4.17%,Buy
BANKBARODA,BANK OF BARODA,"10,20,00,00,00,000",1.02 T,197.07,-3.01%,14.29 M,2.09,4.99,39.5,3.21%,3.84%,
INDHOTEL,THE INDIAN HOTELS CO. LTD,"10,20,00,00,00,000",1.02 T,716.1,-1.14%,8.67 M,3.28,56.53,12.67,53.87%,0.24%,Buy
PNB,PUNJAB NATIONAL BANK,"10,00,00,00,00,000",1 T,87.39,-4.97%,39.94 M,2.31,5.79,15.09,117.84%,1.72%,
TORNTPHARM,TORRENT PHARMACEUTICALS L,"9,96,82,00,00,000",996.82 B,"2,948.10",-1.30%,2.38 M,8.78,53.59,55.02,24.63%,1.09%,Buy
SHREECEM,SHREE CEMENT LTD,"9,84,19,00,00,000",984.19 B,"27,284.00",-3.61%,71.99 K,2.47,80.47,339.05,-45.55%,0.38%,Neutral
TATACONSUM,TATA CONSUMER PRODUCT LTD,"9,53,18,00,00,000",953.18 B,963.7,-4.39%,5.08 M,4.26,81.26,11.86,-7.22%,0.79%,Buy
