Symbol,Name,Market cap (₹),Market cap,Price,Change %,Valume,Rel Volume,P/E,"EPS dil
TTM","EPS dil growth
TTM YoY","Div yield %
TTM",Analyst Rating
GTECJAINX,G-TEC JAINX EDUCATION LTD,"27,08,90,000",270.89 M,30.27,-2.01%,517,0.37,—,-3.08,-438.39%,0.00%,—
SANGINITA,SANGINITA CHEMICALS LTD,"27,01,50,000",270.15 M,10.43,-6.46%,153.65 K,5.56,—,-0.08,-110.81%,0.00%,—
INFOMEDIA,INFOMEDIA PRESS LTD,"27,00,40,000",270.04 M,6,0.00%,13.09 K,0.8,—,-0.75,2.09%,0.00%,CYBERMEDIA
B2BSOFT,B2B SOFTWARE TECHNOLOGIES LTD.,"27,00,20,000",270.02 M,24.58,-6.72%,19.36 K,0.74,10.34,2.38,12.56%,0.00%,—
JAIHINDS,JAIHIND SYNTHETICS LTD.,"26,93,00,000",269.3 M,42.61,-2.49%,1,0.01,293.26,0.15,—,0.00%,—
ZODJRDMKJ,ZODIAC-JRD-MKJ LTD.,"26,90,60,000",269.06 M,51.97,-1.94%,5.74 K,0.97,—,-2.43,-338.46%,0.00%,ASHIS
TTIENT,TTI ENTERPRISE LTD,"26,90,30,000",269.03 M,10.59,-2.13%,37.09 K,0.06,11.24,0.94,—,0.00%,—
POOJA,POOJAWESTERN METALIKS LIMITED,"26,88,60,000",268.86 M,26.51,-10.20%,28.32 K,2.65,19.03,1.39,-17.65%,3.77%,—
SREEJAYA,SREE JAYALAKSHMI AUTOSPIN LTD.,"26,76,60,000",267.66 M,59.77,-1.98%,458,0.16,—,-0.32,-104.39%,0.00%,—
RAPIDIN,RAPID INVESTMENTS LTD.,"26,65,70,000",266.57 M,124,5.00%,161,0.24,92.07,1.35,14.83%,0.00%,—
SAMSRITA,SAMSRITA LABS LIMITED,"26,61,10,000",266.11 M,17.97,4.96%,370,1.08,—,—,—,0.00%,ZENITHHE
HEADSUP,HEADS UP VENTURES LTD,"26,58,70,000",265.87 M,12.11,-8.12%,365.62 K,1.55,—,-0.75,77.49%,0.00%,BIKEWO
PRIMAIN,PRIMA INDUSTRIES LTD.,"26,58,00,000",265.8 M,24.63,-1.00%,4,0.04,—,-0.27,-144.04%,0.00%,—
ZENITHHE,ZENITH HEALTH CARE LTD.,"26,38,60,000",263.86 M,4.91,0.82%,23.17 K,0.63,—,-0.06,-231.12%,0.00%,ADESHWAR
KHOOBSURAT,KHOOBSURAT LTD,"26,33,50,000",263.35 M,0.56,-1.75%,1.5 M,1.09,—,-0.04,-369.03%,0.00%,—
ANVRDHI,ANNVRRIDHHI VENTURES LIMITED,"26,32,50,000",263.25 M,16.25,3.50%,38.45 K,0.74,99.21,0.16,-64.44%,0.00%,—
GREENCREST,GREENCREST FINANCIAL SERVICES,"26,31,70,000",263.17 M,0.72,0.00%,234.26 K,0.94,—,-0.04,-121.45%,0.00%,—
STLSTRINF,STEEL STRIPS INFRASTRUCTURES L,"26,30,90,000",263.09 M,30.44,9.14%,2.86 K,1.59,—,-25.66,-158.23%,0.00%,—
VEERENRGY,VEER ENERGY & INFRASTRUCTURE L,"26,30,50,000",263.05 M,17.58,-2.71%,59.93 K,1.66,27.72,0.63,25.31%,0.00%,—
ADESHWAR,ADESHWAR MEDITEX LIMITED,"26,26,50,000",262.65 M,18.2,0.00%,6 K,0.53,12.02,1.51,27.59%,0.00%,SHREEPAC
JMDVL,JMD VENTURES LIMITED,"26,26,10,000",262.61 M,9.1,-1.94%,6.73 K,0.24,289.81,0.03,-97.49%,0.00%,—
SHREEPAC,SHREE PACETRONIX LTD.,"26,21,80,000",262.18 M,72.84,-4.03%,2.63 K,0.26,15.19,4.8,-55.58%,0.00%,TRIMURTHI
LAFFANSQ,LAFFANS PETROCHEMICALS LTD.,"26,20,80,000",262.08 M,32.76,-1.97%,1.26 K,0.46,13.57,2.41,-69.32%,0.00%,—
PAOS,PAOS INDUSTRIES LIMITED,"26,09,30,000",260.93 M,42.75,0.99%,37,0.17,17.6,2.43,—,0.00%,—
JAYKAILASH,JAY KAILASH NAMKEEN LIMITED,"26,06,40,000",260.64 M,52.16,-7.68%,32 K,2.04,15.23,3.42,—,0.00%,—
DHYAANITR,DHYAANI TRADEVENTTURES LIMITED,"26,06,40,000",260.64 M,15.31,-4.97%,8.4 K,0.25,9.35,1.64,—,0.00%,—
UNIINFO,UNIINFO TELECOM SERVI LTD,"25,87,70,000",258.77 M,24.2,-8.26%,25.33 K,2.1,—,-1.17,-148.73%,0.00%,0
SPCAPIT,SP CAPITAL FINANCING LTD.,"25,85,20,000",258.52 M,43,-7.03%,108,0.09,21.85,1.97,190.27%,2.33%,—
TAVERNIER,TAVERNIER RESOURCES LIMI,"25,84,10,000",258.41 M,43.22,0.00%,1 K,0.03,10.63,4.06,—,0.00%,—
TIJARIA,TIJARIA POLYPIPES LTD,"25,76,40,000",257.64 M,8.97,-5.08%,17.74 K,0.91,—,-1.05,40.04%,0.00%,—
SINNAR,SINNAR BIDI UDYOG LTD.,"25,72,80,000",257.28 M,643.2,0.00%,19,0.32,—,-4.98,-141.58%,0.00%,—
MRCAGRO,MRC AGROTECH LIMITED,"25,67,10,000",256.71 M,12.53,2.54%,244.32 K,0.61,35.75,0.35,-81.45%,0.00%,—
NARPROP,NARENDRA PROPERTIES LTD.,"25,64,70,000",256.47 M,36.09,-2.43%,606,0.92,—,-4.15,-125.68%,2.77%,—
RKDAGRRTL,RKD AGRI AND RETAIL LIMITED,"25,60,10,000",256.01 M,4.38,-2.88%,77.07 K,10.32,"1,152.63",0,-95.97%,0.00%,—
HINFLUR,HINDUSTAN FLUOROCARBONS LTD.,"25,53,80,000",255.38 M,13.03,-7.26%,8.43 K,1.99,45.07,0.29,—,0.00%,—
GEMSPIN,GEM SPINNERS INDIA LTD.,"25,46,90,000",254.69 M,4.15,-4.16%,200,0.56,—,-0.1,-11.94%,0.00%,—
VIVIDHA,VISAGAR POLYTEX LTD,"25,46,50,000",254.65 M,0.86,-2.27%,274.49 K,0.89,—,-0.54,-696.89%,0.00%,—
ASHIS,ASHIANA ISPAT LTD.,"25,43,20,000",254.32 M,31.93,-6.88%,4.84 K,0.25,—,-0.85,-157.94%,0.00%,BMAL
CMMHOSP,CHENNAI MEENAKSHI MULTISPECIAL,"25,39,40,000",253.94 M,34,-3.41%,1.06 K,1.29,—,-2.85,-881.52%,0.00%,—
BENCHMARK,BENCHMARK COMPUTER SOLUTIONS L,"25,39,00,000",253.9 M,36.99,8.32%,2 K,0.24,11.09,3.34,—,0.00%,—
SHAHISHIP,SHAHI SHIPPING LIMITED,"25,33,70,000",253.37 M,17.48,2.94%,4.99 K,0.86,59.42,0.29,-74.70%,0.00%,—
ABIRAFN,ABIRAMI FINANCIAL SERVICES (IN,"25,29,40,000",252.94 M,46.84,-4.99%,58,0.06,33.91,1.38,-39.49%,5.34%,—
CYBERMEDIA,CYBER MEDIA (INDIA) LTD.,"25,27,10,000",252.71 M,16.02,-13.59%,220.46 K,7.06,—,-6.52,-571.36%,0.00%,HOTLSILV
TRIMURTHI,TRIMURTHI LIMITED,"25,22,30,000",252.23 M,25.35,0.00%,3.67 K,2.73,133.21,0.19,—,0.00%,VEERHEALTH
UTIQUE,UTIQUE ENTERPRISES LIMITED,"25,22,00,000",252.2 M,4.53,-7.93%,97.19 K,3.36,17.08,0.27,123.88%,0.00%,—
GSBFIN,GSB FINANCE LTD.,"25,09,20,000",250.92 M,41.82,-1.99%,1.55 K,0.38,46.87,0.89,-64.08%,0.00%,—
SUBSM,SUBHASH SILK MILLS LTD.,"25,01,90,000",250.19 M,59,4.70%,73,0.15,"1,258.00",0.05,-92.15%,0.00%,—
SOVERDIA,SOVEREIGN DIAMONDS LTD.,"24,99,30,000",249.93 M,43.18,-2.97%,2.32 K,1.13,67.89,0.64,-74.28%,0.00%,—
BIKEWO,BIKEWO GREEN TECH LTD,"24,97,80,000",249.78 M,18.4,-2.90%,22 K,0.79,—,—,—,0.00%,CBAZAAR
DANUBE,DANUBE INDUSTRIES LIMITED,"24,96,00,000",249.6 M,4.16,-3.03%,56.71 K,0.86,91.03,0.05,-82.90%,0.00%,—
HOTLSILV,H.S.INDIA LTD.,"24,94,20,000",249.42 M,15.36,0.26%,3.11 K,0.81,18.23,0.84,10.32%,0.00%,VIRTUALG
TAPARIA,TAPARIA TOOLS LTD.,"24,93,90,000",249.39 M,16.43,4.98%,1,0.01,0.21,79.25,35.63%,395.62%,—
OLYMPTX,OLYMPIA INDUSTRIES LTD.,"24,92,00,000",249.2 M,41.37,-2.41%,2.95 K,3,22.64,1.83,18.55%,0.00%,—
BMAL,BOTHRA METALS & ALLOYS LTD.,"24,90,50,000",249.05 M,13.45,-0.52%,4 K,0.45,68.48,0.2,—,0.00%,SHIVAEXPO
ABHIFIN,ABHISHEK FINLEASE LIMITED,"24,87,10,000",248.71 M,58.33,-3.01%,351,1.43,193.4,0.3,-7.31%,0.00%,—
ADARSHPL,ADARSH PLANT PROTECT LTD.,"24,86,80,000",248.68 M,25.09,-4.16%,5.71 K,1.39,65.39,0.38,20.77%,0.00%,—
ACIIN,ACI INFOCOM LTD.,"24,86,00,000",248.6 M,2.25,1.81%,213 K,2.05,—,-0.03,-286.90%,0.00%,—
PRIMEURB,PRIME URBAN DEVELOPMENT INDIA,"24,72,50,000",247.25 M,9.28,-4.82%,300,0.24,—,-0.55,28.71%,0.00%,—
IGCIL,IGC INDUSTRIES LIMITED,"24,68,60,000",246.86 M,7.11,-0.28%,103.69 K,0.62,17.7,0.4,—,0.00%,—
TRANSFRE,TRANS-FREIGHT CONTAINERS LTD.,"24,66,50,000",246.65 M,33.87,0.06%,3.73 K,0.86,20.53,1.65,-13.50%,0.00%,—
VEERHEALTH,VEERHEALTH CARE LIMITED,"24,61,80,000",246.18 M,12.31,-8.61%,34.43 K,0.78,—,-0.03,-102.97%,0.00%,BACPHAR
MADHUDIN,MADHUSUDAN INDUSTRIES LTD.,"24,53,10,000",245.31 M,45.64,4.27%,4.08 K,1.97,23.2,1.97,-78.99%,0.00%,—
PIOTEX,PIOTEX INDUSTRIES LIMITED,"24,49,70,000",244.97 M,48,-6.43%,10.8 K,2.5,—,—,—,0.00%,—
BOSS,BOSS PACKAGING SOLU LTD,"24,45,40,000",244.54 M,42.2,-4.95%,6 K,1.15,—,—,—,0.00%,—
SANPA,SANGAL PAPERS LTD.,"24,44,60,000",244.46 M,187,-5.56%,75,0.13,7.5,24.92,45.93%,0.00%,—
SHUBHAM,SHUBHAM POLYSPIN LIMITED,"24,43,80,000",244.38 M,20.16,-0.74%,6.91 K,1.4,34.97,0.58,-6.35%,0.00%,—
JAIMATAG,JAI MATA GLASS LTD.,"24,30,00,000",243 M,2.43,-1.62%,24.52 K,0.74,177.37,0.01,—,0.00%,—
TGIF,TGIF AGRIBUSINESS LIMITED,"24,22,00,000",242.2 M,93.6,-1.99%,2.4 K,0.3,12.82,7.3,—,0.00%,—
CMRSL,CYBER MEDIA RES & SER LTD,"24,01,00,000",240.1 M,82,-1.74%,6.4 K,1.45,7.47,10.97,13.02%,2.44%,—
PNTKYOR,PENTOKEY ORGANY (INDIA) LTD.,"23,96,10,000",239.61 M,38.2,-0.31%,14,0.04,101.19,0.38,-76.83%,0.00%,—
SARUPINDUS,SARUP INDUSTRIES LTD.,"23,92,10,000",239.21 M,73.55,0.00%,10,0.03,5.35,13.75,—,0.00%,—
SBFL,SHREE BHAVYA FABRICS LIMITED,"23,86,40,000",238.64 M,25.12,-5.06%,631,0.23,10.92,2.3,34.63%,0.00%,—
BACPHAR,BACIL PHARMA LTD.,"23,84,30,000",238.43 M,40.48,-1.99%,10.02 K,0.64,68.52,0.59,—,0.00%,H
MFLINDIA,MFL INDIA LTD.,"23,77,90,000",237.79 M,0.66,1.54%,1.13 M,1.47,—,-0.05,-103.97%,0.00%,—
JIWANRAM,JIWANRAM SHEODUTTRA IND L,"23,75,80,000",237.58 M,8.5,0.00%,6 K,0.42,10.68,0.8,—,0.00%,—
VIRTUALG,VIRTUAL GLOBAL EDUCATION LTD.,"23,72,50,000",237.25 M,0.56,0.00%,1.47 M,2.45,—,-0.05,-877.36%,0.00%,BESTEAST
SYNTHFO,SYNTHIKO FOILS LTD.,"23,64,70,000",236.47 M,135.9,-3.82%,3.51 K,1.56,50.84,2.67,121.27%,0.00%,—
BRISK,BRISK TECHNOVISION LIMITED,"23,60,00,000",236 M,118,0.85%,3.2 K,0.89,—,—,—,1.69%,—
TAIIND,TAI INDUSTRIES LTD.,"23,52,00,000",235.2 M,39.2,-2.71%,283,0.3,13.5,2.9,21.69%,0.00%,—
MORARJEE,MORARJEE TEXTILES LTD,"23,43,40,000",234.34 M,6.41,-5.04%,14.9 K,1.24,—,—,—,0.00%,—
SHIVAEXPO,SHIVA GRANITO EXPORT LIMITED,"23,27,20,000",232.72 M,17.61,4.82%,40 K,1.14,30.52,0.58,—,0.00%,SCTL
SCTL,SUNCARE TRADERS LIMITED,"23,20,50,000",232.05 M,0.91,-2.15%,405.67 K,0.88,13.28,0.07,—,0.00%,RISHDIGA
VAPIENTER,VAPI ENTERPRISE LIMITED,"23,19,10,000",231.91 M,101.65,0.00%,1,0.01,19.82,5.13,-96.96%,0.00%,—
SHREESEC,SHREE SECURITIES LTD.,"23,14,20,000",231.42 M,0.29,-3.33%,3.32 M,1.48,—,-0.75,-2475.48%,0.00%,—
INDCTST,INDUCTO STEEL LTD.,"23,09,90,000",230.99 M,57.5,-1.54%,306,1.35,—,-9.81,-722.34%,0.00%,—
TELOGICA,TELOGICA LIMITED,"23,03,40,000",230.34 M,9.64,-4.93%,35.23 K,0.8,—,-0.8,-174.90%,0.00%,—
BESTEAST,BEST EASTERN HOTELS LTD.,"22,98,30,000",229.83 M,13.64,3.02%,1.83 K,0.51,—,-0.1,-128.52%,0.00%,RELIABVEN
SHRICON,SHRICON INDUSTRIES LTD.,"22,94,00,000",229.4 M,185,-0.54%,4,0.04,43.1,4.29,-73.95%,0.00%,—
KALLAM,KALLAM TEXTILES LTD,"22,76,10,000",227.61 M,4.31,-3.36%,45.64 K,0.28,—,-9.38,-44.36%,0.00%,—
RISHDIGA,RISHABH DIGHA STEEL & ALLIED P,"22,63,70,000",226.37 M,41.26,-4.05%,1.02 K,2.19,1.98,20.84,—,0.00%,NIRAVCOM
RITESHIN,RITESH INTERNATIONAL LTD.,"22,63,10,000",226.31 M,26.46,-4.99%,2.23 K,0.19,17.81,1.49,—,0.00%,—
ACEINTEG,ACE INTEGRATED SOLU. LTD.,"22,61,30,000",226.13 M,22.17,-5.58%,1.98 K,0.2,39.67,0.56,—,0.00%,—
JAYCH,JAYSHREE CHEMICALS LTD.,"22,61,10,000",226.11 M,7.71,-4.46%,29.38 K,2.76,—,-1.22,-4351.28%,0.00%,—
DYNAMIND,DYNAMIC INDUSTRIES LTD.,"22,47,10,000",224.71 M,74.2,-7.31%,3.4 K,3.13,22.34,3.32,—,0.67%,—
KACL,KAISER CORPORATION LIMITED,"22,46,90,000",224.69 M,4.27,-1.84%,22.26 K,1.4,—,-0.21,-125.28%,0.00%,—
NIRAVCOM,NIRAV COMMERCIALS LTD.,"22,34,80,000",223.48 M,570.1,-4.90%,18,0.58,—,-51.28,-452.63%,0.00%,SPRL
RELIABVEN,RELIABLE VENTURES INDIA LTD.,"22,33,40,000",223.34 M,20.28,3.47%,479,0.04,—,-0.58,68.59%,0.00%,HOWARHO
KCLINFRA,KCL INFRA PROJECTS LIMITED,"22,29,60,000",222.96 M,1.32,-0.75%,225.39 K,1.75,—,0,-100.68%,0.00%,—
CITICHEM,CITICHEM INDIA LIMITED,"22,18,80,000",221.88 M,32.63,-4.98%,16 K,2,—,—,—,0.00%,—
VIJAYTX,VIJAY TEXTILES LTD.,"22,16,70,000",221.67 M,12.11,-4.95%,1.15 K,0.19,—,-13.14,-205.11%,0.00%,—
GUJRAFFIA,GUJARAT RAFFIA INDUST LTD,"22,15,30,000",221.53 M,41.07,-5.02%,1.96 K,0.38,40.39,1.02,-9.86%,0.00%,—
1STCUS,FIRST CUSTODIAN FUND (INDIA) L,"22,11,00,000",221.1 M,147.4,0.24%,177,1.88,8.85,16.66,201.92%,0.68%,—
HAMPS,HAMPS BIO LIMITED,"21,88,90,000",218.89 M,50.25,-3.37%,10 K,1.32,—,—,—,0.00%,ISHITADR
HOWARHO,HOWARD HOTELS LTD.,"21,88,10,000",218.81 M,24.01,-4.53%,330,0.13,—,-0.09,-106.03%,0.00%,VRFILMS
YASHINNO,YASH INNOVENTURES LIMITED,"21,83,70,000",218.37 M,32.49,-0.91%,4.17 K,0.37,—,-2.19,-368.25%,0.00%,—
SPRL,SP REFRACTORIES LTD,"21,64,40,000",216.44 M,120.95,-4.99%,800,0.3,12.16,9.95,—,0.00%,IMPEXFERRO
TOKYOFIN,TOKYO FINANCE LTD.,"21,60,70,000",216.07 M,31,-1.46%,106,0.27,43.13,0.72,-41.43%,0.00%,—
VRFILMS,V R FILMS & STUDIOS LIMITED,"21,45,80,000",214.58 M,19.55,-2.35%,1.68 K,0.84,—,—,—,0.00%,RASRESOR
REGENTRP,REGENT ENTERPRISES LIMITED,"21,37,90,000",213.79 M,6.39,-4.34%,31.39 K,0.59,5.56,1.15,—,0.00%,—
RAPID,RAPID MULTIMODAL LOGISTICS LIM,"21,33,90,000",213.39 M,55.99,8.19%,1.6 K,0.21,—,—,—,0.00%,—
EDUCOMP,EDUCOMP SOLUTIONS LTD,"21,30,90,000",213.09 M,1.77,2.31%,63.45 K,0.99,—,—,—,0.00%,—
RASRESOR,RAS RESORTS & APART HOTELS LTD,"21,29,80,000",212.98 M,53.65,6.22%,771,1.2,25.85,2.08,7975.49%,0.00%,RADAAN
MULLER,MULLER & PHIPPS (INDIA) LTD.,"21,25,00,000",212.5 M,340,0.44%,12,2.45,"2,004.72",0.17,-97.94%,0.00%,—
RADAAN,RADAAN MEDIAWORKS (I) LTD,"21,23,10,000",212.31 M,3.89,-2.02%,17.35 K,0.77,5.2,0.75,—,0.00%,POLOHOT
IMPEXFERRO,IMPEX FERRO TECH LTD,"21,10,40,000",211.04 M,2.36,-3.67%,8.69 K,0.53,—,—,—,0.00%,MDRNSTL
POLOHOT,POLO HOTELS LTD.,"21,09,90,000",210.99 M,9.43,4.89%,29.76 K,3.53,—,—,—,0.00%,VELHO
ISHITADR,ISHITA DRUGS & INDUSTRIES LTD.,"21,08,20,000",210.82 M,70.5,-4.28%,2.62 K,6.12,24.45,2.88,33.57%,0.00%,VANTABIO
OCTAVIUSPL,OCTAVIUS PLANTATIONS LIMITED,"21,00,00,000",210 M,70,0.14%,11,0.02,—,—,—,—,—
STERPOW,STERLING POWERGENSYS LTD,"20,89,80,000",208.98 M,39.71,-4.98%,6.27 K,0.86,6.57,6.05,—,0.00%,—
VERITAAS,VERITAAS ADVERTISING LTD,"20,86,20,000",208.62 M,73.9,0.00%,2.4 K,0.83,9.66,7.65,—,0.00%,—
RAGHUTOB,RAGHUNATH TOBACCO CO.LTD.,"20,76,00,000",207.6 M,17.3,-4.42%,2.08 K,1.24,8.26,2.09,508.13%,0.00%,—
CROISSANCE,CROISSANCE LIMITED,"20,70,10,000",207.01 M,3.02,-3.82%,21.59 K,0.55,—,-0.07,-216.29%,0.00%,—
VELHO,VELAN HOTELS LTD.,"20,64,90,000",206.49 M,6.46,-7.05%,6.25 K,1.24,—,-0.41,91.78%,0.00%,CINDHO
NBFOOT,NB FOOTWEAR LTD.,"20,61,50,000",206.15 M,15.27,4.80%,100,0.02,—,—,—,0.00%,—
SRDAPRT,SARDA PROTEINS LTD.,"20,51,20,000",205.12 M,118.85,0.00%,278,0.28,144.66,0.82,—,0.00%,—
CARGOSOL,CARGOSOL LOGISTICS LIMITED,"20,40,00,000",204 M,20,2.56%,16 K,2.22,—,-5.6,-404.77%,0.00%,—
IFINSER,INTERACTIVE FINANCIAL SERVICES,"20,35,40,000",203.54 M,29.37,-4.95%,229.83 K,3.71,3.75,7.83,357.44%,0.00%,—
CELLA,CELLA SPACE LIMITED,"20,35,30,000",203.53 M,10.1,4.12%,16.11 K,1.82,0.4,25.07,5759.26%,0.00%,—
SATTVASUKU,SATTVA SUKUN LIFECARE LIMITED,"20,35,20,000",203.52 M,1.06,0.00%,1.01 M,1.11,9.58,0.11,94.21%,0.00%,—
MDRNSTL,MODERN STEELS LTD.,"20,34,10,000",203.41 M,14.78,-1.47%,1.36 K,0.76,23.12,0.64,-57.69%,0.00%,CHROME
PARAGONF,PARAGON FINANCE LTD.,"20,31,50,000",203.15 M,47.8,-1.44%,1.35 K,0.72,12.88,3.71,—,0.00%,—
MUKATPIP,MUKAT PIPES LTD.,"20,31,20,000",203.12 M,17.17,4.70%,1.64 K,1.9,154.96,0.11,-64.15%,0.00%,—
VANTABIO,VANTA BIOSCIENCE LIMITED,"20,16,70,000",201.67 M,31.95,4.96%,3.75 K,1.43,—,-6.1,13.65%,0.00%,PHRMASI
LABELKRAFT,LABELKRAFT TECHNOLOGIES LIMITE,"20,11,30,000",201.13 M,62,-2.36%,4 K,1.18,18.86,3.29,—,0.00%,—
YASHMGM,YASH MANAGEMENT & SATELLITE LT,"19,99,20,000",199.92 M,11.76,-2.73%,4.35 K,0.95,43.85,0.27,—,0.00%,—
VALSONQ,VALSON INDUSTRIES LTD.,"19,91,80,000",199.18 M,26,-2.59%,991,0.4,43.6,0.6,-54.91%,0.00%,—
QUADRANT,QUADRANT TELEVENTURES LIMITED,"19,59,20,000",195.92 M,0.32,-3.03%,4.46 M,0.98,—,-4.23,-133.64%,0.00%,0
COMPINFO,COMPUAGE INFOCOM LTD,"19,55,50,000",195.55 M,2.21,-3.07%,28.88 K,0.68,—,—,—,0.00%,—
PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,"19,48,80,000",194.88 M,2.62,-2.24%,3 K,0.45,—,-1.48,12.78%,0.00%,—
JACKSON,JACKSON INVESTMENTS LTD,"19,47,70,000",194.77 M,0.67,-1.47%,213.91 K,0.52,—,0,-105.97%,0.00%,—
SSPDL,SSPDL LTD.,"19,39,40,000",193.94 M,15,-8.81%,1.01 K,0.29,—,-4.63,-659.44%,0.00%,—
KAMANWALA,KAMANWALA HOUSING CONSTRUCTION,"19,37,80,000",193.78 M,13.75,-5.24%,21.6 K,4.27,—,-1.34,77.77%,0.00%,—
PARMCOS_B,PARAMOUNT COSMETICS (INDIA) LT,"19,27,40,000",192.74 M,39.7,0.00%,8,0.01,—,-0.32,-155.37%,0.00%,—
VEDANTASSET,VEDANT ASSET LIMITED,"19,27,30,000",192.73 M,69.79,-1.99%,3 K,0.74,58.26,1.2,37.44%,0.00%,—
GAYAHWS,GAYATRI HIGHWAYS LTD,"19,17,20,000",191.72 M,0.85,0.00%,15.66 K,0.32,—,-16.13,-176.24%,0.00%,—
UNITDCR,UNITED CREDIT LTD.,"19,14,80,000",191.48 M,35.94,-2.60%,950,0.87,13.86,2.59,-0.50%,0.00%,—
GUJCOTEX,GUJARAT COTEX LTD.,"19,14,40,000",191.44 M,13.44,-4.34%,47.2 K,1.33,41.06,0.33,1064.77%,0.00%,—
TUNITEX,TUNI TEXTILE MILLS LTD.,"18,97,20,000",189.72 M,1.43,-2.05%,256.45 K,1.21,35.22,0.04,89.72%,0.00%,—
VAMSHIRU,VAMSHI RUBBER LTD.,"18,93,10,000",189.31 M,45,-0.57%,327,0.28,28.81,1.56,104.80%,0.00%,—
CINDHO,CINDRELLA HOTELS LTD.,"18,90,70,000",189.07 M,52.52,-8.57%,632,0.76,632.77,0.08,-89.95%,1.90%,SILLYMONKS
ADHBHUTIN,ADHBHUT INFRASTRUCTURE LTD.,"18,88,70,000",188.87 M,17.17,3.12%,357,0.39,—,-0.23,-121.03%,0.00%,—
KMGMILK,KMG MILK FOOD LTD.,"18,87,40,000",188.74 M,35.58,4.99%,200,0.69,—,-0.66,-853.42%,0.00%,—
BKV,BKV INDUSTRIES LTD.,"18,83,20,000",188.32 M,12.19,3.22%,8.48 K,3.9,489.56,0.02,-82.30%,0.00%,—
NEIL,NEIL INDUSTRIES LTD.,"18,83,00,000",188.3 M,9.63,-2.33%,12.8 K,3.32,9.32,1.03,0.63%,0.00%,—
TRIVENIGQ,TRIVENI GLASS LTD.,"18,80,30,000",188.03 M,14.9,-3.81%,18.12 K,1.2,10.71,1.39,16.93%,0.00%,—
SAMTEX,SAMTEX FASHIONS LTD.,"18,77,40,000",187.74 M,2.52,1.61%,10.63 K,0.57,—,-0.2,62.95%,0.00%,—
GLFL,GUJARAT LEASE FINANCING L,"18,71,70,000",187.17 M,5.25,-5.06%,618,0.35,257.35,0.02,-81.64%,0.00%,—
GEMSI,GEMSTONE INVESTMENTS LTD.,"18,61,30,000",186.13 M,2.49,-2.35%,98.65 K,1.14,—,-0.05,-166.22%,0.00%,—
DFL,DECILLION FINANCE LTD.,"18,57,40,000",185.74 M,53.07,-1.99%,700,1.59,—,-1.3,-894.17%,0.00%,—
COSYN,COSYN LIMITED,"18,45,80,000",184.58 M,24.61,-19.44%,119.97 K,13.45,20.38,1.21,—,0.00%,—
PHRMASI,PHAARMASIA LTD.,"18,36,50,000",183.65 M,26.9,-4.98%,1.78 K,2.21,—,-0.87,45.53%,0.00%,SDL
VKGLOBAL,VK GLOBAL INDUSTRIES LIMITED,"18,28,20,000",182.82 M,43.14,0.00%,500,—,—,-0.78,-1.01%,0.00%,—
NEELKANTH,NEELKANTH LIMITED,"18,27,70,000",182.77 M,41.93,0.00%,200,10.42,—,-0.26,-33.23%,0.00%,—
STRGRENWO,STERLING GREEN WOODS LTD.,"18,23,10,000",182.31 M,43,0.00%,202,0.16,—,-4.72,-88.53%,0.00%,—
INDICAP,INDITRADE CAPITAL LIMITED,"18,21,60,000",182.16 M,7.8,-4.88%,17.89 K,0.2,—,-2.69,65.95%,0.00%,—
KARNAVATI,KARNAVATI FINANCE LIMITED,"18,19,00,000",181.9 M,1.81,-8.59%,38.91 K,1.87,—,-0.1,53.09%,0.00%,—
SFPIL,SQUARE FOUR PROJECTS INDIA LIM,"18,18,60,000",181.86 M,9.27,-3.44%,781,0.18,126.64,0.07,—,0.00%,—
SILLYMONKS,SILLY MONKS ENTERTAIN LTD,"18,11,70,000",181.17 M,17.7,-4.79%,3.87 K,0.68,40.92,0.43,—,0.00%,EASTRED
GGL,GAUTAM GEMS LIMITED,"18,01,60,000",180.16 M,4.41,-3.71%,67.79 K,0.8,174.31,0.03,-86.73%,0.00%,—
POLYSIL,POLYSIL IRRIGATION SYST L,"17,97,60,000",179.76 M,15.85,-6.76%,254 K,2.12,7.96,1.99,—,0.00%,—
GGPL,GALA GLOBAL PRODUCTS LIMITED,"17,90,50,000",179.05 M,3.28,1.23%,88.7 K,0.48,22.7,0.14,—,0.00%,—
ADCON,ADCON CAPITAL SERVICES LIMITED,"17,85,10,000",178.51 M,0.9,2.27%,317.26 K,0.67,15.38,0.06,622.22%,0.00%,—
EASTRED,EASTERN TREADS LTD.,"17,78,90,000",177.89 M,34,-10.31%,567,2.52,—,-6.7,8.99%,0.00%,TVVISION
RELICTEC,RELIC TECHNOLOGIES LTD.,"17,73,00,000",177.3 M,49.25,1.99%,1.84 K,0.87,—,-4.53,-371.62%,0.00%,—
TARAI,TARAI FOODS LTD.,"17,62,20,000",176.22 M,9.94,-1.09%,2.1 K,1.27,—,-0.18,41.64%,0.00%,—
CBAZAAR,NET AVENUE TECHNOLOGIES L,"17,59,20,000",175.92 M,6,-4.00%,8 K,0.16,—,-2.07,—,0.00%,DUKEOFS
STELLAR,STELLAR CAPITAL SERVICES LTD,"17,52,30,000",175.23 M,7.02,-2.77%,6 K,0.19,—,-0.02,97.20%,0.00%,—
